id,J2,J1,freq,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,Year,G1,G2,J_id
1653,106,95,109,BRWhite,Kennedy,D,D,AMKennedy,Reagan,R,R,1990,1,1,95_106
1654,106,102,121,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1990,1,1,102_106
1655,106,105,121,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1990,1,1,105_106
1656,106,103,90,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1990,2,1,103_106
1657,106,100,95,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1990,2,1,100_106
1658,106,104,125,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1990,1,1,104_106
1659,107,102,111,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,1990,1,1,102_107
1660,107,103,80,JPStevens,Ford,R,R,DHSouter,Bush,R,R,1990,2,1,103_107
1661,107,98,75,TMarshall,LBJ,D,D,DHSouter,Bush,R,R,1990,2,1,98_107
1662,107,100,88,HABlackmun,Nixon,R,R,DHSouter,Bush,R,R,1990,2,1,100_107
1663,107,104,120,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1990,1,1,104_107
1664,107,95,107,BRWhite,Kennedy,D,D,DHSouter,Bush,R,R,1990,1,1,95_107
1665,107,105,108,AScalia,Reagan,R,R,DHSouter,Bush,R,R,1990,1,1,105_107
1666,107,106,112,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,1990,1,1,106_107
1667,100,95,107,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,1991,1,1,95_100
1668,102,95,119,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,1991,1,1,95_102
1669,102,100,94,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1991,1,1,100_102
1670,103,100,135,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1991,1,1,100_103
1671,103,102,84,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1991,1,1,102_103
1672,103,95,107,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,1991,1,1,95_103
1673,104,103,104,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1991,1,1,103_104
1674,104,95,107,BRWhite,Kennedy,D,D,SDOConnor,Reagan,R,R,1991,1,1,95_104
1675,104,100,107,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1991,1,1,100_104
1676,104,102,114,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1991,1,1,102_104
1677,105,102,127,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1991,1,1,102_105
1678,105,104,113,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1991,1,1,104_105
1679,105,95,112,BRWhite,Kennedy,D,D,AScalia,Reagan,R,R,1991,1,1,95_105
1680,105,100,75,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1991,1,1,100_105
1681,105,103,77,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1991,1,1,103_105
1682,106,95,125,BRWhite,Kennedy,D,D,AMKennedy,Reagan,R,R,1991,1,1,95_106
1683,106,104,124,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1991,1,1,104_106
1684,106,103,108,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1991,1,1,103_106
1685,106,102,124,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1991,1,1,102_106
1686,106,105,115,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1991,1,1,105_106
1687,106,100,108,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1991,1,1,100_106
1688,107,100,109,HABlackmun,Nixon,R,R,DHSouter,Bush,R,R,1991,1,1,100_107
1689,107,95,120,BRWhite,Kennedy,D,D,DHSouter,Bush,R,R,1991,1,1,95_107
1690,107,103,110,JPStevens,Ford,R,R,DHSouter,Bush,R,R,1991,1,1,103_107
1691,107,106,131,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,1991,1,1,106_107
1692,107,104,118,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1991,1,1,104_107
1693,107,102,117,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,1991,1,1,102_107
1694,107,105,113,AScalia,Reagan,R,R,DHSouter,Bush,R,R,1991,1,1,105_107
1695,108,103,63,JPStevens,Ford,R,R,CThomas,Bush,R,R,1991,1,1,103_108
1696,108,104,89,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,1991,1,1,104_108
1697,108,100,65,HABlackmun,Nixon,R,R,CThomas,Bush,R,R,1991,1,1,100_108
1698,108,102,104,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,1991,1,1,102_108
1699,108,105,109,AScalia,Reagan,R,R,CThomas,Bush,R,R,1991,1,1,105_108
1700,108,95,87,BRWhite,Kennedy,D,D,CThomas,Bush,R,R,1991,1,1,95_108
1701,108,106,87,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,1991,1,1,106_108
1702,108,107,93,DHSouter,Bush,R,R,CThomas,Bush,R,R,1991,1,1,107_108
1703,100,95,99,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,1992,1,1,95_100
1704,102,95,130,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,1992,1,1,95_102
1705,102,100,90,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1992,1,1,100_102
1706,103,100,121,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1992,1,1,100_103
1707,103,102,92,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1992,1,1,102_103
1708,103,95,101,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,1992,1,1,95_103
1709,104,103,101,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1992,1,1,103_104
1710,104,95,113,BRWhite,Kennedy,D,D,SDOConnor,Reagan,R,R,1992,1,1,95_104
1711,104,100,103,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1992,1,1,100_104
1712,104,102,127,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1992,1,1,102_104
1713,105,102,133,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1992,1,1,102_105
1714,105,104,122,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1992,1,1,104_105
1715,105,95,120,BRWhite,Kennedy,D,D,AScalia,Reagan,R,R,1992,1,1,95_105
1716,105,100,91,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1992,1,1,100_105
1717,105,103,95,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1992,1,1,103_105
1718,106,95,125,BRWhite,Kennedy,D,D,AMKennedy,Reagan,R,R,1992,1,1,95_106
1719,106,104,119,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1992,1,1,104_106
1720,106,103,101,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1992,1,1,103_106
1721,106,102,134,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1992,1,1,102_106
1722,106,105,134,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1992,1,1,105_106
1723,106,100,100,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1992,1,1,100_106
1724,107,100,108,HABlackmun,Nixon,R,R,DHSouter,Bush,R,R,1992,1,1,100_107
1725,107,95,122,BRWhite,Kennedy,D,D,DHSouter,Bush,R,R,1992,1,1,95_107
1726,107,103,107,JPStevens,Ford,R,R,DHSouter,Bush,R,R,1992,1,1,103_107
1727,107,106,123,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,1992,1,1,106_107
1728,107,104,119,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1992,1,1,104_107
1729,107,102,116,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,1992,1,1,102_107
1730,107,105,124,AScalia,Reagan,R,R,DHSouter,Bush,R,R,1992,1,1,105_107
1731,108,103,94,JPStevens,Ford,R,R,CThomas,Bush,R,R,1992,1,1,103_108
1732,108,104,128,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,1992,1,1,104_108
1733,108,100,95,HABlackmun,Nixon,R,R,CThomas,Bush,R,R,1992,1,1,100_108
1734,108,102,135,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,1992,1,1,102_108
1735,108,105,138,AScalia,Reagan,R,R,CThomas,Bush,R,R,1992,1,1,105_108
1736,108,95,121,BRWhite,Kennedy,D,D,CThomas,Bush,R,R,1992,1,1,95_108
1737,108,106,135,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,1992,1,1,106_108
1738,108,107,117,DHSouter,Bush,R,R,CThomas,Bush,R,R,1992,1,1,107_108
1739,102,100,63,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1993,1,1,100_102
1740,103,100,86,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1993,1,1,100_103
1741,103,102,67,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1993,1,1,102_103
1742,104,102,88,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1993,1,1,102_104
1743,104,103,72,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1993,1,1,103_104
1744,104,100,58,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1993,1,1,100_104
1745,105,104,88,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1993,1,1,104_105
1746,105,100,61,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1993,1,1,100_105
1747,105,102,88,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1993,1,1,102_105
1748,105,103,68,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1993,1,1,103_105
1749,106,103,78,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1993,1,1,103_106
1750,106,105,87,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1993,1,1,105_106
1751,106,100,66,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1993,1,1,100_106
1752,106,102,85,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1993,1,1,102_106
1753,106,104,87,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1993,1,1,104_106
1754,107,100,83,HABlackmun,Nixon,R,R,DHSouter,Bush,R,R,1993,1,1,100_107
1755,107,105,79,AScalia,Reagan,R,R,DHSouter,Bush,R,R,1993,1,1,105_107
1756,107,104,78,SDOConnor,Reagan,R,R,DHSouter,Bush,R,R,1993,1,1,104_107
1757,107,103,89,JPStevens,Ford,R,R,DHSouter,Bush,R,R,1993,1,1,103_107
1758,107,106,89,AMKennedy,Reagan,R,R,DHSouter,Bush,R,R,1993,1,1,106_107
1759,107,102,79,WHRehnquist,Nixon,R,R,DHSouter,Bush,R,R,1993,1,1,102_107
1760,108,102,83,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,1993,1,1,102_108
1761,108,100,53,HABlackmun,Nixon,R,R,CThomas,Bush,R,R,1993,1,1,100_108
1762,108,104,87,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,1993,1,1,104_108
1763,108,107,68,DHSouter,Bush,R,R,CThomas,Bush,R,R,1993,1,1,107_108
1764,108,105,95,AScalia,Reagan,R,R,CThomas,Bush,R,R,1993,1,1,105_108
1765,108,103,59,JPStevens,Ford,R,R,CThomas,Bush,R,R,1993,1,1,103_108
1766,108,106,82,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,1993,1,1,106_108
1767,109,104,83,SDOConnor,Reagan,R,R,RBGinsburg,Clinton,D,D,1993,1,1,104_109
1768,109,105,83,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,1993,1,1,105_109
